scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score
A,1094,Premier League,1,1x2,away,123.49,6.4,0.3492,2,false,-2,3,0
A,1091,Serie C,0,1x2,away,24.56,3.55,0.3509,0.5,false,-0.5,0,0
A,1060,Primera Division,1,over25,over,12.5,2.25,0.5,2,false,-2,1,1
A,1059,Primera Division,1,over25,over,7.5,2.15,0.5,2,false,-2,0,1
A,1057,NWSL,0,btts,nao,15.06,1.84,0.6253,0.5,true,0.42,0,1
A,1025,Primera B Nacional,1,,,,,,,skip,,1,1
A,1000,Serie B,0,over25,over,15.18,2.08,0.5538,0.5,false,-0.5,0,2
A,1669,Segunda Division,0,1x2,away,73.91,5,0.3478,0.5,false,-0.5,1,0
A,1613,Primera Division,1,btts,nao,6.76,1.7,0.628,2,false,-2,1,1
A,1599,Liga Pro,0,1x2,away,65.22,4.75,0.3478,0.5,false,-0.5,2,0
A,1100,Segunda Division,0,1x2,away,75.44,5,0.3509,0.5,false,-0.5,1,0
A,1048,Primera Division,1,over25,over,6.94,2.02,0.5294,2,false,-2,1,1
A,1033,Liga Pro,0,1x2,away,65.87,4.75,0.3492,0.5,false,-0.5,2,0
A,1572,Division 1,0,btts,nao,11.55,1.87,0.5965,0.5,false,-0.5,1,2
A,1571,Division 1,0,over25,under,23.2,1.68,0.7333,0.5,true,0.34,2,0
A,1569,Division 1,0,over25,over,15.34,2.23,0.5172,0.5,true,0.615,2,1
A,1182,Division 1,0,1x2,home,14.08,2.38,0.4793,0.5,false,-0.5,1,2
A,1181,Division 1,0,btts,nao,20.86,1.68,0.7194,0.5,true,0.34,2,0
A,1180,Division 1,0,over25,over,23.49,2.23,0.5538,0.5,true,0.615,2,1
A,1024,Primera B Nacional,1,over25,over,32.5,2.65,0.5,2,false,-2,1,1
A,1659,Serie C,0,1x2,home,55.69,1.84,0.8462,0.5,true,0.42,1,0
A,1658,Serie C,0,1x2,away,46.09,4.2,0.3478,0.5,false,-0.5,0,0
A,1657,Serie C,0,over25,over,25.24,2.63,0.4762,0.5,true,0.815,1,2
A,1588,Primera B Nacional,1,over25,over,33.33,2.8,0.4762,2,true,3.6,4,0
A,1566,Serie B,0,1x2,away,110,7,0.3,0.5,false,-0.5,4,2
A,1090,Serie C,0,1x2,away,47.37,4.2,0.3509,0.5,false,-0.5,0,0
A,1089,Serie C,0,over25,over,31.5,2.63,0.5,0.5,true,0.815,1,2
A,1088,Serie C,0,1x2,home,39.24,1.84,0.7568,0.5,true,0.42,1,0
A,1023,Primera B Nacional,1,over25,over,40,2.8,0.5,2,true,3.6,4,0
A,999,Serie B,0,1x2,away,16.67,7,0.1667,0.5,false,-0.5,4,2
A,1667,Primera B,0,1x2,draw,5.82,3.05,0.3469,0.5,false,-0.5,0,2
A,1594,Primera Division,1,1x2,draw,10,3.3,0.3333,2,false,-2,4,1
A,1587,Primera B Nacional,1,1x2,away,122.61,6.4,0.3478,2,false,-2,1,0
A,1586,Primera B Nacional,1,1x2,away,13.04,3.25,0.3478,2,false,-2,1,0
A,1585,Primera B Nacional,1,over25,over,26.19,2.65,0.4762,2,true,3.3,1,2
A,1584,Primera B Nacional,1,1x2,away,39.13,4,0.3478,2,false,-2,0,0
A,1564,Serie B,0,1x2,away,67.2,4.4,0.38,0.5,true,1.7,0,1
A,1546,Serie A,1,btts,nao,7.9,1.97,0.5477,2,false,-2,1,2
A,1544,Serie A,1,1x2,away,38.78,8.5,0.1633,2,false,-2,2,1
A,1510,La Liga,1,1x2,home,105.62,2.43,0.8462,2,true,2.86,5,1
A,946,La Liga,1,1x2,home,83.89,2.43,0.7568,2,true,2.86,5,1
A,1097,Primera B,0,1x2,home,11.21,2.32,0.4793,0.5,false,-0.5,0,2
A,1029,Primera Division,1,1x2,home,15.11,2.43,0.4737,2,true,2.86,4,1
A,1022,Primera B Nacional,1,btts,nao,6.31,1.56,0.6815,2,true,1.12,1,0
A,1021,Primera B Nacional,1,1x2,away,39.68,4,0.3492,2,false,-2,0,0
A,1020,Primera B Nacional,1,1x2,away,123.49,6.4,0.3492,2,false,-2,1,0
A,1019,Primera B Nacional,1,over25,over,40.29,2.65,0.5294,2,true,3.3,1,2
A,998,Serie B,0,1x2,away,74.17,4.4,0.3958,0.5,true,1.7,0,1
A,980,Serie A,1,1x2,home,16.48,2.43,0.4793,2,false,-2,1,2
A,979,Serie A,1,1x2,away,39.09,8.5,0.1636,2,false,-2,2,1
A,1834,Brasileiro Women,0,1x2,away,160.87,7.5,0.3478,0.5,true,3.25,0,3
A,1509,Serie A,1,1x2,home,57.42,6.1,0.2581,2,false,-2,2,2
A,1508,Serie A,1,over25,under,61.33,2.2,0.7333,2,false,-2,1,4
A,1507,Serie A,1,1x2,draw,66.53,4.8,0.3469,2,false,-2,0,2
A,1506,Serie A,1,1x2,away,86.2,4.9,0.38,2,false,-2,1,0
A,1505,Serie A,1,1x2,away,63.27,10,0.1633,2,true,18,1,2
A,1154,Serie A,1,1x2,away,93.96,4.9,0.3958,2,false,-2,1,0
A,1153,Serie A,1,1x2,away,63.64,10,0.1636,2,true,18,1,2
A,1152,Serie A,1,1x2,home,80.24,6.1,0.2955,2,false,-2,2,2
A,1151,Serie A,1,over25,under,52.31,2.2,0.6923,2,false,-2,1,4
A,1150,Serie A,1,1x2,draw,57.31,4.8,0.3277,2,false,-2,0,2
A,1583,Primera B Nacional,1,over25,over,21.43,2.55,0.4762,2,false,-2,1,0
A,1018,Primera B Nacional,1,1x2,home,24,3.1,0.4,2,true,4.2,1,0
A,1017,Primera B Nacional,1,over25,over,27.5,2.55,0.5,2,false,-2,1,0
A,1614,Primera Division,1,,,,,,,skip,,2,2
A,1047,Primera Division,1,1x2,away,13.49,3.25,0.3492,2,false,-2,2,2
A,1668,Segunda Division,0,btts,nao,11.68,1.9,0.5878,0.5,true,0.45,3,0
A,1662,Premier League,1,over25,under,23.2,1.68,0.7333,2,false,-2,2,1
A,1598,Liga Pro,0,over25,over,16.67,2.45,0.4762,0.5,true,0.725,2,1
A,1581,Primera B Nacional,1,,,,,,,skip,,2,0
A,1575,Primera Division,1,1x2,home,21.81,2.85,0.4274,2,false,-2,1,1
A,1551,Serie B,0,1x2,draw,14.49,3.3,0.3469,0.5,false,-0.5,0,2
A,1099,Segunda Division,0,btts,nao,10.33,1.9,0.5807,0.5,true,0.45,3,0
A,1093,Premier League,1,over25,under,13.55,1.68,0.6759,2,false,-2,2,1
A,1032,Liga Pro,0,over25,over,22.5,2.45,0.5,0.5,true,0.725,2,1
A,1011,Primera Division,1,1x2,home,14,2.85,0.4,2,false,-2,1,1
A,1833,Brasileiro Women,0,1x2,home,103.02,4.75,0.4274,0.5,false,-0.5,1,2
A,1580,Super Liga,0,1x2,home,105.16,4.8,0.4274,0.5,false,-0.5,1,1
A,1579,Super Liga,0,,,,,,,skip,,2,2
A,1578,Super Liga,0,1x2,away,71.05,13,0.1316,0.5,false,-0.5,1,0
A,1577,Super Liga,0,,,,,,,skip,,2,1
A,1016,Super Liga,0,1x2,away,112.73,13,0.1636,0.5,false,-0.5,1,0
A,1015,Super Liga,0,1x2,away,22.73,7.5,0.1636,0.5,false,-0.5,2,2
A,1014,Super Liga,0,1x2,away,14.55,7,0.1636,0.5,false,-0.5,2,1
A,1013,Super Liga,0,1x2,home,105.71,4.8,0.4286,0.5,false,-0.5,1,1
A,1638,Botola Pro,0,btts,sim,27.07,2.23,0.5698,0.5,false,-0.5,1,0
A,1620,NWSL,0,,,,,,,skip,,3,1
A,1582,Primera B Nacional,1,1x2,home,32.5,3.1,0.4274,2,true,4.2,1,0
A,1056,NWSL,0,1x2,home,7.41,1.83,0.587,0.5,true,0.415,3,1
A,1665,Primera B,0,1x2,home,39.62,1.65,0.8462,0.5,false,-0.5,1,1
A,1593,Primera Division,1,1x2,away,21.6,3.2,0.38,2,false,-2,2,0
A,1562,La Liga 2,1,1x2,home,70,5.1,0.3333,2,false,-2,0,2
A,1561,La Liga 2,1,1x2,home,109.56,4.1,0.5111,2,true,6.2,3,1
A,1560,La Liga 2,1,1x2,home,88.06,4.4,0.4274,2,false,-2,0,1
A,1559,La Liga 2,1,over25,under,32.73,1.81,0.7333,2,false,-2,3,0
A,1558,La Liga 2,1,btts,nao,38.06,1.78,0.7756,2,false,-2,1,1
A,1557,La Liga 2,1,btts,nao,21.54,1.75,0.6945,2,true,1.5,0,2
A,1556,La Liga 2,1,over25,over,10.43,1.36,0.812,2,false,-2,1,1
A,1555,La Liga 2,1,1x2,home,21.45,1.67,0.7273,2,true,1.34,2,0
A,1554,La Liga 2,1,1x2,away,108.7,6,0.3478,2,false,-2,3,1
A,1515,Pro League,1,btts,nao,52.83,1.89,0.8086,2,false,-2,5,1
A,1513,Pro League,1,over25,over,35,1.35,1,2,true,0.7,5,0
A,1512,Pro League,1,,,,,,,skip,,3,0
A,950,Pro League,1,btts,nao,5.35,2.35,0.4483,2,true,2.7,3,0
A,949,Pro League,1,btts,nao,50.65,1.89,0.7971,2,false,-2,5,1
A,948,Pro League,1,over25,over,35,1.35,1,2,true,0.7,5,0
A,1096,Primera B,0,1x2,home,24.86,1.65,0.7568,0.5,false,-0.5,1,1
A,1028,Primera Division,1,1x2,away,26.67,3.2,0.3958,2,false,-2,2,0
A,996,La Liga 2,1,btts,nao,36.92,1.78,0.7692,2,false,-2,1,1
A,995,La Liga 2,1,,,,,,,skip,,1,1
A,994,La Liga 2,1,,,,,,,skip,,3,1
A,993,La Liga 2,1,btts,nao,28.18,2,0.6409,2,true,2,3,0
A,992,La Liga 2,1,1x2,away,110.53,6,0.3509,2,false,-2,3,1
A,991,La Liga 2,1,btts,nao,21.34,1.75,0.6934,2,true,1.5,0,2
A,990,La Liga 2,1,1x2,home,69.85,5.1,0.333,2,false,-2,0,2
A,989,La Liga 2,1,1x2,home,96.53,4.1,0.4793,2,true,6.2,3,1
A,988,La Liga 2,1,1x2,home,9.05,1.67,0.653,2,true,1.34,2,0
A,987,La Liga 2,1,1x2,home,11.24,1.47,0.7568,2,false,-2,0,2
A,986,La Liga 2,1,1x2,home,76,4.4,0.4,2,false,-2,0,1
A,1666,Liga Pro Serie B,0,over25,over,7.41,1.82,0.5902,0.5,false,-0.5,1,0
A,1612,Primera Division,1,over25,over,15.08,1.95,0.5902,2,true,1.9,2,1
A,1533,Eliteserien,0,1x2,home,163.22,6.25,0.4211,0.5,false,-0.5,1,2
A,1504,Serie A,1,1x2,away,10.2,6.75,0.1633,2,false,-2,1,0
A,1149,Serie A,1,1x2,away,10.45,6.75,0.1636,2,false,-2,1,0
A,1098,Liga Pro Serie B,0,,,,,,,skip,,1,0
A,1046,Primera Division,1,btts,sim,12.96,1.93,0.5853,2,true,1.86,2,1
A,965,Eliteserien,0,1x2,home,128.26,6.25,0.3652,0.5,false,-0.5,1,2
A,1636,Botola Pro,0,1x2,draw,31.84,3.8,0.3469,0.5,false,-0.5,0,1
A,1630,Superettan,0,1x2,draw,19.69,3.45,0.3469,0.5,false,-0.5,0,1
A,1502,Premier League,1,1x2,home,45.32,3.4,0.4274,2,false,-2,1,1
A,1501,Premier League,1,over25,under,49.59,3.65,0.4098,2,false,-2,1,2
A,1500,Premier League,1,over25,under,32.76,2.75,0.4828,2,false,-2,0,3
